customer_id,country,signup_date
290,Germany,02-04-2024
291,Morocco,29-01-2023
292,Germany,27-12-2023
293,Germany,04-11-2023
294,France,06-01-2024
295,France,05-03-2024
296,France,11-06-2023
297,Germany,23-12-2023
298,Morocco,06-12-2023
299,France,02-03-2023
300,Spain,05-05-2023
